sample.x	sample.y	jsd
B_recovery_d008	A_diarrhea_016	0.81995298431818
B_recovery_d009	A_diarrhea_016	0.836203047407635
B_recovery_d010	A_diarrhea_016	0.815370263286614
B_recovery_d013	A_diarrhea_016	0.813229957735363
B_recovery_d015	A_diarrhea_016	0.843377890661462
B_recovery_d017	A_diarrhea_016	0.816418460895053
B_recovery_d025	A_diarrhea_016	0.856807629598963
B_recovery_d031	A_diarrhea_016	0.848538660327016
B_recovery_d037	A_diarrhea_016	0.888580275578923
B_recovery_d045	A_diarrhea_016	0.861869232290896
B_recovery_d052	A_diarrhea_016	0.834750426213532
B_recovery_d088	A_diarrhea_016	0.859384801289596
C_diarrhea_011	A_diarrhea_016	0.201926887848461
C_diarrhea_024	A_diarrhea_016	0.582492930075921
C_diarrhea_033	A_diarrhea_016	0.40966935847676
C_diarrhea_044	A_diarrhea_016	0.391803813010715
C_diarrhea_057	A_diarrhea_016	0.792525616674745
C_diarrhea_072	A_diarrhea_016	0.935725329381068
C_diarrhea_079	A_diarrhea_016	0.909646878796574
C_diarrhea_082	A_diarrhea_016	0.899210303049341
C_diarrhea_083	A_diarrhea_016	0.87008067121395
C_diarrhea_084	A_diarrhea_016	0.885099437637616
C_diarrhea_086	A_diarrhea_016	0.901098662524739
C_diarrhea_090	A_diarrhea_016	0.916412477143851
C_diarrhea_096	A_diarrhea_016	0.911818976639246
C_diarrhea_097	A_diarrhea_016	0.88547360897281
C_diarrhea_103	A_diarrhea_016	0.917992215132097
C_diarrhea_105	A_diarrhea_016	0.958089275460807
C_diarrhea_106	A_diarrhea_016	0.908215377643907
C_diarrhea_107	A_diarrhea_016	0.964642519587481
C_diarrhea_108	A_diarrhea_016	0.91409200480642
C_diarrhea_109	A_diarrhea_016	0.922274042821648
C_diarrhea_110	A_diarrhea_016	0.94330983768192
C_diarrhea_111	A_diarrhea_016	0.91906001931002
C_diarrhea_113	A_diarrhea_016	0.933777346724614
C_recovery_d005	A_diarrhea_016	0.882032436439557
C_recovery_d008	A_diarrhea_016	0.868741710950829
C_recovery_d009	A_diarrhea_016	0.866216727363375
C_recovery_d010	A_diarrhea_016	0.914323178722408
C_recovery_d013	A_diarrhea_016	0.990929708085792
C_recovery_d015	A_diarrhea_016	0.897650665939943
C_recovery_d017	A_diarrhea_016	0.89017859546613
C_recovery_d024	A_diarrhea_016	0.967880688678661
C_recovery_d031	A_diarrhea_016	0.875876842922167
C_recovery_d035	A_diarrhea_016	0.892311572360805
C_recovery_d045	A_diarrhea_016	0.880219125141504
C_recovery_d052	A_diarrhea_016	0.904474615185558
C_recovery_d087	A_diarrhea_016	0.814693618248984
D_diarrhea_006	A_diarrhea_016	0.383458287274839
D_diarrhea_008	A_diarrhea_016	0.325647323172623
D_diarrhea_011	A_diarrhea_016	0.588302490016059
D_diarrhea_012	A_diarrhea_016	0.537795970092648
D_diarrhea_013	A_diarrhea_016	0.519282142950534
D_diarrhea_014	A_diarrhea_016	0.588000204912745
D_diarrhea_018	A_diarrhea_016	0.813408373082099
D_diarrhea_019	A_diarrhea_016	0.863644689575188
D_diarrhea_end	A_diarrhea_016	0.858475878870194
D_recovery_d003	A_diarrhea_016	0.898713764768825
D_recovery_d004	A_diarrhea_016	0.924963606412208
D_recovery_d005	A_diarrhea_016	0.91567635457181
D_recovery_d006	A_diarrhea_016	0.917844898634735
D_recovery_d007	A_diarrhea_016	0.9098237059084
D_recovery_d008	A_diarrhea_016	0.920145304392805
D_recovery_d009	A_diarrhea_016	0.921944813029673
D_recovery_d010	A_diarrhea_016	0.933864392857106
D_recovery_d012	A_diarrhea_016	0.896706702722839
D_recovery_d014	A_diarrhea_016	0.916026970822212
D_recovery_d016	A_diarrhea_016	0.927151246926573
D_recovery_d023	A_diarrhea_016	0.933858268661924
D_recovery_d030	A_diarrhea_016	0.911293802690272
D_recovery_d086	A_diarrhea_016	0.833991804554243
E_diarrhea_007	A_diarrhea_016	0.174048964793138
E_diarrhea_022	A_diarrhea_016	0.149143823271606
E_diarrhea_030	A_diarrhea_016	0.167679685975021
E_diarrhea_035	A_diarrhea_016	0.480655046692289
E_diarrhea_047	A_diarrhea_016	0.934577038039626
E_diarrhea_051	A_diarrhea_016	0.904198613561494
E_diarrhea_053	A_diarrhea_016	0.916614154949601
E_diarrhea_058	A_diarrhea_016	0.862715754320072
E_diarrhea_061	A_diarrhea_016	0.906979860725136
E_diarrhea_062	A_diarrhea_016	0.926597263679407
E_diarrhea_064	A_diarrhea_016	0.923090211614774
E_diarrhea_065	A_diarrhea_016	0.858860088177682
E_diarrhea_066	A_diarrhea_016	0.902845345367272
E_diarrhea_end	A_diarrhea_016	0.918626081610426
E_recovery_d004	A_diarrhea_016	0.91671529267567
E_recovery_d007	A_diarrhea_016	0.925665495630019
E_recovery_d008	A_diarrhea_016	0.923814861442407
E_recovery_d009	A_diarrhea_016	0.915962106588169
E_recovery_d010	A_diarrhea_016	0.919354340740981
E_recovery_d011	A_diarrhea_016	0.923798842253682
