ID,BS1D,BS1S,BS2D,BS2S,BS3D,BS3S,BS4D,BS4S,BS5D,BS5S,BS6D,BS6S,BS7D,BS7D,PS1D,PS1S,PS2D,PS2S,PS3D,PS3S,PS4D,PS4S,PS5D,PS5S,PS6D,PS6S,PS7D,PS7S
COG1014,0.0313823,0.091294,0.0199706,0.0370882,0.00855881,0.0114117,0.0484999,0.0313823,0.0313823,0.0313823,0.0199706,0.0256764,0.0142647,0.0142647,0.0171176,0.0114117,0.00570587,0.00855881,0.00285294,0.0142647,0.0114117,0.0370882,0,0.00855881,0,0.0256764,0.0285294,0.0399411
COG10152,0,0.0795454,0.0132576,0.0397727,0,0.0132576,0.0397727,0.0265151,0.0132576,0.0265151,0,0.0265151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG1016,0.0352686,0.0940495,0.0529029,0.058781,0,0.0176343,0.0999276,0.0293905,0.0529029,0.0176343,0.0235124,0.0117562,0.0529029,0.0529029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG1017,0.0705772,0.0838936,0.0452759,0.0759038,0.0266329,0.0239696,0.0852253,0.0492709,0.0585924,0.0266329,0.0292962,0.0346228,0.0532658,0.0532658,0.00399494,0.00399494,0.00798987,0.00665823,0,0.00932152,0.00532658,0.0106532,0,0.00532658,0.00133165,0.00532658,0.0159797,0.0106532
COG10174,0,0,0.0146904,0.00734522,0.0146904,0,0.00734522,0.00734522,0.0367261,0.00734522,0.00734522,0,0.00734522,0.00734522,0.171808,0,0,0,0.00734522,0,0.00734522,0.0146904,0,0,0.00734522,0,0,0
COG10179,0,0.107172,0.0112812,0.0507655,0,0.0169218,0.0338437,0.00564061,0.0112812,0.0112812,0,0.00564061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564061
COG10182,0,0,0.0114403,0,0.0228806,0,0.0686418,0.0114403,0.0343209,0.0114403,0.0572015,0.0343209,0.0686418,0.0686418,0,0,0,0,0,0,0,0,0,0,0,0,0.0343209,0
COG10196,0.0463128,0.0783755,0.0391877,0.0605629,0.0178126,0.0498753,0.074813,0.0926256,0.0712504,0.0391877,0.0534378,0.0676879,0.0676879,0.0676879,0,0.0142501,0,0.00356252,0,0,0,0,0,0,0,0.00356252,0,0.00356252
COG10197,0,0.0593276,0.00494397,0.0148319,0,0.0148319,0.0148319,0.00494397,0.00494397,0.00494397,0,0,0,0,0.00356252,0,0,0,0,0,0,0,0,0,0,0,0,0.00494397
COG1020,0.025195,0.0419916,0.0503899,0.025195,0.0125975,0.0125975,0.0503899,0.0209958,0.0125975,0.0125975,0.00419916,0.0125975,0.0419916,0.0419916,0,0,0,0,0,0,0,0,0,0,0,0.00839832,0,0.00419916
COG10227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG1023,0.0289798,0.0676195,0.0144899,0.0338098,0.00965993,0.00965993,0.0289798,0.0193199,0.0241498,0.00965993,0.00965993,0.00965993,0.0144899,0.0144899,0,0,0,0,0,0,0,0.00482997,0,0,0.00482997,0,0,0.00965993
COG10237,0,0.0114416,0,0,0.00915332,0.0114416,0.00686499,0.01373,0.00686499,0,0.00457666,0.00686499,0.0183066,0.0183066,0,0.00686499,0.0160183,0.0183066,0.0434783,0.020595,0.0503432,0.0434783,0.0457666,0.0183066,0.0183066,0.00457666,0.020595,0.00915332
COG10250,0.127746,0.230925,0.083526,0.0884393,0.0638728,0.0393064,0.108092,0.0884393,0.117919,0.132659,0.108092,0.0982659,0.083526,0.083526,0.00457666,0.0687861,0.049133,0.0736994,0.0049133,0.049133,0.083526,0.113006,0.0393064,0.0343931,0,0.0982659,0.127746,0.216185
COG10259,0.00327869,0.00655738,0.0131148,0.00655738,0.00655738,0,0.00983607,0.00327869,0.0327869,0.00655738,0.0327869,0.00983607,0.00983607,0.00983607,0.152312,0,0,0,0,0,0,0,0,0,0,0,0,0
COG1026,0.0416731,0.106498,0.0231517,0.0463034,0.013891,0.0231517,0.0787158,0.0231517,0.0231517,0.00926069,0.0185214,0.00926069,0.0416731,0.0416731,0,0.00463034,0,0,0,0.00463034,0.00926069,0.00463034,0,0,0,0.00463034,0.00463034,0.00463034
COG1027,0.0209223,0.0601517,0.0261529,0.0209223,0.00784587,0.00784587,0.0653823,0.0366141,0.018307,0.0104612,0.0130765,0.00523058,0.0418446,0.0418446,0,0,0,0,0,0,0.00523058,0,0,0,0.00261529,0,0,0
COG10279,0,0.0124713,0.0249426,0.0249426,0,0,0.0124713,0.0124713,0.0623564,0.0124713,0.0249426,0.0124713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124713,0,0
COG10280,0.025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG103,0.25468,0.19101,0.12734,0.097954,0.0538747,0.0685678,0.156726,0.102852,0.102852,0.122443,0.142033,0.097954,0.142033,0.142033,0,0.0244885,0.0244885,0.0048977,0.0097954,0.0293862,0.0195908,0.0342839,0.0048977,0.0146931,0.0048977,0.0195908,0.0293862,0.0440793
COG10307,0,0,0,0.0213755,0,0,0.0320632,0,0,0,0,0,0.0106877,0.0106877,0.0391816,0,0,0,0,0,0,0,0,0,0,0,0,0
COG10314,0,0.0532586,0,0,0.0665732,0,0.0266293,0,0.0133146,0,0.0133146,0,0.0399439,0.0399439,0,0.0399439,0.146461,0.0133146,0.106517,0.0399439,0.0932025,0.0133146,0.119832,0.0266293,0.0399439,0,0.0532586,0
COG10316,0.220297,0.406703,0.105065,0.132178,0.186406,0.203352,0.288081,0.305027,0.149124,0.128789,0.196573,0.0948974,0.220297,0.220297,0.0133146,0.674449,0.708341,0.88119,0.633779,0.67106,1.19638,1.37262,0.894747,0.772736,0.613444,0.471098,0.786292,0.542271
